year,skpd,name,dpa
2013,DINAS PERTAMANAN DAN PEMAKAMAN,Tunjangan Beras,"1,302,553,260"
2013,BADAN PENANAMAN MODAL Dan PROMOSI,Tunjangan Umum,"149,373,250"
2013,DINAS PENDIDIKAN,Tambahan Penghasilan Guru PNSD Profesi Non Sertifikasi,"25,608,000,000"
2013,DINAS PENDIDIKAN,Pembulatan Gaji,"28,885,282"
2013,DINAS PERINDUSTRIAN Dan ENERGI,Gaji Pokok,"14,221,343,046"
2013,"BADAN PEMBERDAYAAN MASYARAKAT, PEREMPUAN DAN KB",Tunjangan Kinerja,"67,013,147,677"
2013,Kota Administrasi Jakarta Pusat,Tunjangan Keluarga,"3,028,681,819"
2013,DINAS PERHUBUNGAN,Tunjangan Fungsional,"424,334,625"
2013,PEJABAT PENGELOLA KEUANGAN DAERAH,Belanja Bantuan Sosial Kepada Individu / Keluarga / Masyarakat (Penataan Kampung Deret),"850,338,000,000"
2013,BADAN PENGELOLA LINGKUNGAN HIDUP DAERAH,Gaji Pokok,"9,801,530,346"
2013,BLUD RS Budhi Asih,Tunjangan Kinerja,"10,182,690,000"
2013,DINAS PELAYANAN PAJAK,Tunjangan Beras,"1,926,728,580"
2013,DINAS OLAH RAGA Dan PEMUDA,Tunjangan Khusus (PPh)/Tunjangan PPh,"4,867,267,739"
2013,DINAS PEKERJAAN UMUM,Tunjangan Jabatan,"1,526,178,875"
2013,"DINAS KOMUNIKASI, INFORMATIKA Dan KEHUMASAN",Tunjangan Keluarga,"1,120,346,496"
2013,DINAS PENGAWASAN DAN PENERTIBAN BANGUNAN,Tunjangan Jabatan,"1,246,020,750"
2013,Kota Administrasi Jakarta Pusat,Tunjangan Jabatan,"3,811,083,250"
2013,DPRD Provinsi,Tunjangan PPh / Tunjangan Khusus,"469,251,684"
2013,SEKRETARIAT DPRD,Belanja Penunjang Operasional Pimpinan DPRD,"676,800,000"
2013,DINAS KEBERSIHAN,Tunjangan Umum,"2,977,471,250"
2013,Kota Administrasi Jakarta Utara,Tunjangan Keluarga,"2,543,799,627"
2013,Kota Administrasi Jakarta Pusat,Tunjangan Beras,"1,637,151,960"
2013,PEJABAT PENGELOLA KEUANGAN DAERAH,Bunga Utang Pinjaman Kepada Pemerintah,"4,353,828,000"
2013,BLUD RS Pasar Rebo,Tunjangan Khusus (PPh)/Tunjangan PPh,"2,254,897,809"
2013,"DINAS KOPERASI, USAHA MIKRO, KECIL DAN MENENGAH, DAN PERDAGANGAN",Tunjangan Fungsional,"172,292,250"
2013,PEJABAT PENGELOLA KEUANGAN DAERAH,Belanja Hibah Operasional Pendidikan (BOP),"786,486,140,000"
2013,SEKRETARIAT DPRD,Tunjangan Keluarga,"621,864,035"
2013,BLUD RS Tarakan,Tunjangan Kinerja,"8,002,876,000"
2013,BADAN PENGELOLA KEUANGAN DAERAH,Pembulatan Gaji,"489,164"
2013,DINAS KELAUTAN DAN PERTANIAN,Belanja Retribusi Daerah,"600,000,000"
2013,BADAN PENGELOLA LINGKUNGAN HIDUP DAERAH,Tunjangan Khusus (PPh)/Tunjangan PPh,"3,285,160,789"
2013,BLUD RS Koja,Tunjangan Jabatan,"138,913,125"
2013,DINAS PENGAWASAN DAN PENERTIBAN BANGUNAN,Tunjangan Keluarga,"2,021,339,747"
2013,DINAS KEBERSIHAN,Tunjangan Khusus (PPh)/Tunjangan PPh,"15,411,021,700"
2013,SEKRETARIAT DAERAH,Belanja  Penunjang Operasional KDH / WKDH,"26,670,450,000"
2013,DINAS PERUMAHAN DAN GEDUNG PEMDA,Tunjangan Keluarga,"1,276,626,183"
2013,BLUD RS Cengkareng,Tunjangan Beras,"81,704,916"
2013,Kota Administrasi Jakarta Pusat,Tunjangan Kinerja,"55,857,597,521"
2013,DINAS SOSIAL,Tunjangan Fungsional,"255,373,625"
2013,BADAN PENGELOLA KEUANGAN DAERAH,Tunjangan Keluarga,"2,483,874,901"
2013,DINAS KELAUTAN DAN PERTANIAN,Tunjangan Beras,"3,074,040,540"
2013,BADAN PERENCANAAN PEMBANGUNAN DAERAH,Tunjangan Jabatan,"666,183,375"
2013,BADAN PERPUSTAKAAN DAN ARSIP DAERAH,Gaji Pokok,"10,393,812,365"
2013,BADAN PERENCANAAN PEMBANGUNAN DAERAH,Pembulatan Gaji,"198,386"
2013,DPRD Provinsi,Tunjangan Badan Anggaran,"82,215,000"
2013,SEKRETARIAT DAERAH,Tunjangan Jabatan,"145,314,000"
2013,"BADAN PEMBERDAYAAN MASYARAKAT, PEREMPUAN DAN KB",Tunjangan Keluarga,"3,657,638,636"
2013,PEJABAT PENGELOLA KEUANGAN DAERAH,Belanja Hibah Kepada Badan / Lembaga / Organisasi Swasta,"587,955,702,500"
2013,DINAS KELAUTAN DAN PERTANIAN,Gaji Pokok,"52,977,503,100"
2013,DINAS SOSIAL,Tunjangan Keluarga,"3,352,527,072"
2013,DINAS OLAH RAGA Dan PEMUDA,Gaji Pokok,"14,203,789,986"
2013,DPRD Provinsi,Tunjangan Beras ,"173,621,760"
2013,SATPOL PP,Pembulatan Gaji,"3,651,343"
2013,DINAS PERHUBUNGAN,Tunjangan Khusus (PPh)/Tunjangan PPh,"14,251,750,610"
2013,BADAN PERENCANAAN PEMBANGUNAN DAERAH,Tunjangan Khusus (PPh)/Tunjangan PPh,"3,660,052,584"
2013,DINAS KESEHATAN,Gaji Pokok,"195,882,549,573"
2013,DINAS PENDIDIKAN,Tambahan Penghasilan Guru PNSD Profesi Sertifikasi,"1,026,844,433,000"
2013,DINAS PARIWISATA DAN KEBUDAYAAN,Tunjangan Beras,"1,535,533,200"
2013,PEJABAT PENGELOLA KEUANGAN DAERAH,Belanja Bantuan Sosial Kepada Organisasi Sosial Kemasyarakatan,"17,634,500,000"
2013,SATPOL PP,Gaji Pokok,"123,709,182,740"
2013,BLUD RS Koja,Tunjangan Umum,"149,972,875"
2013,DINAS PENGAWASAN DAN PENERTIBAN BANGUNAN,Pembulatan Gaji,"409,736"
